,SchoolYear,NameHospital,Sex,EpiUnderweight,EpiHealthyWeight,EpiOverweight,EpiObese,EpiOverweightAndObese,ValidCounts,UnvalidCounts,TotalCounts,year,%ValidCounts,%UnValidCounts
0,2001-01-01,Borders,Female,2,334,54,28,82,418,82,500,2001,83.6,16.400000000000002
1,2001-01-01,Borders,Male,5,301,63,42,105,411,105,516,2001,79.65116279069767,20.348837209302324
2,2001-01-01,Lothian,Female,12,728,133,106,239,979,239,1218,2001,80.3776683087028,19.62233169129721
3,2001-01-01,Lothian,Male,17,681,124,114,238,936,238,1174,2001,79.7274275979557,20.272572402044293
4,2001-01-01,Fife,Female,17,1361,231,155,386,1764,386,2150,2001,82.04651162790698,17.953488372093023
5,2001-01-01,Fife,Male,24,1365,244,219,463,1852,463,2315,2001,80.0,20.0
6,2001-01-01,Lanarkshire,Female,57,2280,319,287,606,2943,606,3549,2001,82.92476754015216,17.075232459847843
7,2001-01-01,Lanarkshire,Male,72,2231,347,281,628,2931,628,3559,2001,82.35459398707502,17.64540601292498
8,2002-01-01,Lothian,Female,10,634,125,107,232,876,232,1108,2002,79.06137184115524,20.938628158844764
9,2002-01-01,Lothian,Male,23,611,126,105,231,865,231,1096,2002,78.92335766423358,21.076642335766422
10,2002-01-01,Fife,Female,9,1275,206,189,395,1679,395,2074,2002,80.95467695274831,19.04532304725169
11,2002-01-01,Fife,Male,20,1229,239,178,417,1666,417,2083,2002,79.98079692750841,20.0192030724916
12,2002-01-01,Tayside,Female,19,1574,247,192,439,2032,439,2471,2002,82.23391339538648,17.76608660461352
13,2002-01-01,Tayside,Male,41,1600,267,201,468,2109,468,2577,2002,81.83934807916181,18.160651920838184
14,2002-01-01,Lanarkshire,Female,65,2352,359,275,634,3051,634,3685,2002,82.79511533242876,17.204884667571235
15,2002-01-01,Lanarkshire,Male,79,2472,409,302,711,3262,711,3973,2002,82.10420337276616,17.89579662723383
16,2003-01-01,Borders,Female,3,377,67,44,111,491,111,602,2003,81.56146179401993,18.438538205980066
